,Date,H0,H1
0,2021-06,999.0,212.5
1,2021-08,999.0,214.5
2,2022-02,999.0,233.0
3,2022-10,999.0,230.5
4,2023-06,999.0,218.5
5,2023-09,999.0,226.5
